"","Offense charged","Total","White","Black or
African
American","American
Indian or
Alaska
Native","Asian","Native
Hawaiian
or Other
Pacific
Islander","% Total","% White","% Black or
African
American","% American
Indian or
Alaska
Native","% Asian","% Native
Hawaiian
or Other
Pacific
Islander"
"1","TOTAL",4928838,3309189,1401734,136629,65543,15743,100,67.1,28.4,2.8,1.3,0.3
"2","Murder and nonnegligent manslaughter",5747,2302,3282,77,71,15,100,40.1,57.1,1.3,1.2,0.3
"3","Rape3",11793,7775,3571,183,221,43,100,65.9,30.3,1.6,1.9,0.4
"4","Robbery",47649,21117,25229,568,488,247,100,44.3,52.9,1.2,1,0.5
"5","Aggravated assault",212042,124682,75814,5963,4104,1479,100,58.8,35.8,2.8,1.9,0.7
"6","Burglary",90948,59468,28580,1340,1278,282,100,65.4,31.4,1.5,1.4,0.3
"7","Larceny-theft",495523,329865,147378,10937,5892,1451,100,66.6,29.7,2.2,1.2,0.3
"8","Motor vehicle theft",43032,27972,13415,975,575,95,100,65,31.2,2.3,1.3,0.2
"9","Arson",4847,3323,1304,89,101,30,100,68.6,26.9,1.8,2.1,0.6
"10","Violent crime4",277231,155876,107896,6791,4884,1784,100,56.2,38.9,2.4,1.8,0.6
"11","Property crime4",634350,420628,190677,13341,7846,1858,100,66.3,30.1,2.1,1.2,0.3
"12","Other assaults",541249,335868,181943,13249,8241,1948,100,62.1,33.6,2.4,1.5,0.4
"13","Forgery and counterfeiting",24484,16304,7434,288,408,50,100,66.6,30.4,1.2,1.7,0.2
"14","Fraud",58434,37385,18823,1193,899,134,100,64,32.2,2,1.5,0.2
"15","Embezzlement",7969,4734,2949,104,164,18,100,59.4,37,1.3,2.1,0.2
"16","Stolen property; buying, receiving, possessing",48059,28194,17950,886,697,332,100,58.7,37.3,1.8,1.5,0.7
"17","Vandalism",99112,65975,28803,2719,1326,289,100,66.6,29.1,2.7,1.3,0.3
"18","Weapons; carrying, possessing, etc.",81894,43423,36256,853,1004,358,100,53,44.3,1,1.2,0.4
"19","Prostitution and commercialized vice",17414,8738,7556,66,976,78,100,50.2,43.4,0.4,5.6,0.4
"20","Sex offenses (except rape and prostitution)",20930,15062,4685,523,567,93,100,72,22.4,2.5,2.7,0.4
"21","Drug abuse violations",741159,519170,200531,10689,8779,1990,100,70,27.1,1.4,1.2,0.3
"22","Gambling",1194,653,370,7,153,11,100,54.7,31,0.6,12.8,0.9
"23","Offenses against the family and children",31814,20101,8917,2363,363,70,100,63.2,28,7.4,1.1,0.2
"24","Driving under the influence",382803,306754,56868,9270,7368,2543,100,80.1,14.9,2.4,1.9,0.7
"25","Liquor laws",86939,66241,14182,5081,1328,107,100,76.2,16.3,5.8,1.5,0.1
"26","Drunkenness",186891,138266,28502,17727,2069,327,100,74,15.3,9.5,1.1,0.2
"27","Disorderly conduct",172734,107462,54571,8855,1568,278,100,62.2,31.6,5.1,0.9,0.2
"28","Vagrancy",14182,9580,3942,465,178,17,100,67.6,27.8,3.3,1.3,0.1
"29","All other offenses (except traffic)",1490225,1002433,425855,41859,16630,3448,100,67.3,28.6,2.8,1.1,0.2
"30","Suspicion",262,150,67,44,1,0,100,57.3,25.6,16.8,0.4,0
"31","Curfew and loitering law violations",9509,6192,2957,256,94,10,100,65.1,31.1,2.7,1,0.1
