"","Offense charged","Total","White","Black or
African
American","American
Indian or
Alaska
Native","Asian","Native
Hawaiian
or Other
Pacific
Islander","% Total","% White","% Black or
African
American","% American
Indian or
Alaska
Native","% Asian","% Native
Hawaiian
or Other
Pacific
Islander"
"1","TOTAL",377634,233488,129804,9031,4207,1104,100,61.8,34.4,2.4,1.1,0.3
"2","Murder and nonnegligent manslaughter",475,208,261,5,1,0,100,43.8,54.9,1.1,0.2,0
"3","Rape3",1883,1273,558,22,25,5,100,67.6,29.6,1.2,1.3,0.3
"4","Robbery",10294,3800,6260,62,109,63,100,36.9,60.8,0.6,1.1,0.6
"5","Aggravated assault",15044,8408,6018,383,186,49,100,55.9,40,2.5,1.2,0.3
"6","Burglary",11195,6117,4661,222,149,46,100,54.6,41.6,2,1.3,0.4
"7","Larceny-theft",51322,28768,20612,970,774,198,100,56.1,40.2,1.9,1.5,0.4
"8","Motor vehicle theft",7797,3480,4076,172,56,13,100,44.6,52.3,2.2,0.7,0.2
"9","Arson",959,657,274,18,8,2,100,68.5,28.6,1.9,0.8,0.2
"10","Violent crime4",27696,13689,13097,472,321,117,100,49.4,47.3,1.7,1.2,0.4
"11","Property crime4",71273,39022,29623,1382,987,259,100,54.8,41.6,1.9,1.4,0.4
"12","Other assaults",64335,38503,23645,1293,676,218,100,59.8,36.8,2,1.1,0.3
"13","Forgery and counterfeiting",491,308,173,3,6,1,100,62.7,35.2,0.6,1.2,0.2
"14","Fraud",2035,971,984,55,24,1,100,47.7,48.4,2.7,1.2,NA
"15","Embezzlement",339,159,166,1,12,1,100,46.9,49,0.3,3.5,0.3
"16","Stolen property; buying, receiving, possessing",5459,1831,3457,81,49,41,100,33.5,63.3,1.5,0.9,0.8
"17","Vandalism",17595,12194,4820,403,141,37,100,69.3,27.4,2.3,0.8,0.2
"18","Weapons; carrying, possessing, etc.",9250,5116,3827,124,153,30,100,55.3,41.4,1.3,1.7,0.3
"19","Prostitution and commercialized vice",186,79,103,0,2,2,100,42.5,55.4,0,1.1,1.1
"20","Sex offenses (except rape and prostitution)",3374,2477,755,48,73,21,100,73.4,22.4,1.4,2.2,0.6
"21","Drug abuse violations",42365,31618,9059,1054,497,137,100,74.6,21.4,2.5,1.2,0.3
"22","Gambling",61,25,35,0,1,0,100,41,57.4,0,1.6,0
"23","Offenses against the family and children",1638,1032,404,194,8,0,100,63,24.7,11.8,0.5,0
"24","Driving under the influence",2211,1935,149,86,29,12,100,87.5,6.7,3.9,1.3,0.5
"25","Liquor laws",11996,10076,903,863,132,22,100,84,7.5,7.2,1.1,0.2
"26","Drunkenness",1905,1443,224,217,20,1,100,75.7,11.8,11.4,1,0.1
"27","Disorderly conduct",30045,16508,12481,790,222,44,100,54.9,41.5,2.6,0.7,0.1
"28","Vagrancy",243,174,62,5,2,0,100,71.6,25.5,2.1,0.8,0
"29","All other offenses (except traffic)",75610,50125,22874,1703,758,150,100,66.3,30.3,2.3,1,0.2
"30","Suspicion",18,11,6,1,0,0,100,61.1,33.3,5.6,0,0
"31","Curfew and loitering law violations",9509,6192,2957,256,94,10,100,65.1,31.1,2.7,1,0.1
